Name;Type;Size;Offset;Section;ReferenceID;Class;MapType;MapLen;MUID;ExtractExpr;InjectExpr;OutType;EnumID;FormatString;Writable;DefUserLevel;TranslateID
machine_snocs_str;char[8];4;0;machine_info;100;Machine;3;8;0;;;6;;%s;0;0;500
machine_slaveaddress_reg;uint16;1;4;machine_info;112;Machine;1;2;0;;;2;;%u;0;0;0
machine_series_str;char[4];2;5;machine_info;110;Machine;3;4;0;;;6;;%s;0;0;501
machine_mainfwrel_reg;uint16;1;7;machine_info;200;Machine;1;2;0;;;2;;%x;0;0;502
machine_mainfwrel_reg;uint16;1;8;machine_info;210;Machine;1;2;0;;;2;;%x;0;0;503
reserved;;23;9;machine_info;;Machine;0;46;0;;;0;;%u;0;0;0
machine_hmisblockrel_reg;uint16;1;32;machine_info;;Machine;1;2;0;;;2;;%x;0;0;0
machine_dfrsblockrel_reg;uint16;1;33;machine_info;;Machine;1;2;0;;;2;;%x;0;0;0
machine_boilerblockrel_reg;uint16;1;34;machine_info;;Machine;1;2;0;;;2;;%x;0;0;0
machine_serviceblockrel_reg;uint16;1;35;machine_info;;Machine;1;2;0;;;2;;%x;0;0;0
machine_powerloadblockrel_reg;uint16;1;36;machine_info;;Machine;1;2;0;;;2;;%x;0;0;0
machine_autosteamsblockrel_reg;uint16;1;37;machine_info;;Machine;1;2;0;;;2;;%x;0;0;0
machine_gcsblockrel_reg;uint16;1;38;machine_info;;Machine;1;2;0;;;2;;%x;0;0;0
machine_ocsblockrel_reg;uint16;1;39;machine_info;;Machine;1;2;0;;;2;;%x;0;0;0
machine_cashblockrel_reg;uint16;1;40;machine_info;;Machine;1;2;0;;;2;;%x;0;0;0
machine_profileflowblockrel_reg;uint16;1;41;machine_info;;Machine;1;2;0;;;2;;%x;0;0;0
machine_standbyblockrel_reg;uint16;1;42;machine_info;;Machine;1;2;0;;;2;;%x;0;0;0
machine_countersblockrel_reg;uint16;1;43;machine_info;;Machine;1;2;0;;;2;;%x;0;0;0
machine_logsblockrel_reg;uint16;1;44;machine_info;;Machine;1;2;0;;;2;;%x;0;0;0
reserved;;9;45;machine_info;;Machine;0;14;0;;;0;;%u;0;0;0
machine_mainfwrel_reg;uint16;1;54;machine_info;250;Machine;1;2;0;;;2;;%u;0;0;502
machine_rtc_time;uint32;2;0;machine_inputs;;Realtime;1;4;4;;;2;;%u;1;0;105
machine_op_status;enum;1;2;machine_inputs;5251;Realtime;1;2;0;;;7;100;%s;1;0;0
machine_alarm_status;uint16;1;3;machine_inputs;;Realtime;1;2;0;;;2;;%u;1;0;0
machine_outputs_status;flags;1;4;machine_inputs;8370;Realtime;1;2;0;;;7;;%u;1;0;0
machine_serialnum_str;char[9];5;0;machine_parameters;;Machine;3;10;0;;;6;;%s;1;0;0
machine_model_type;enum;1;5;machine_parameters;;Machine;1;2;0;;;7;101;%s;1;0;500
machine_numgroups_set;uint8;1;6;machine_parameters;500;Machine;1;2;0;;;2;;%u;1;0;501
machine_powersupply_type;enum;1;7;machine_parameters;;Machine;1;2;0;;;7;102;%s;1;0;0
machine_language_type;enum;1;8;machine_parameters;5070;Machine;1;2;0;;;7;103;%s;1;0;0
machine_timezone_set;int8;1;9;machine_parameters;;Machine;2;2;7;;;2;;%d;1;0;107
machine_daylightsaving_type;enum;1;10;machine_parameters;5072;Machine;1;2;0;;;7;104;%s;1;0;0
machine_temperaturemetric_type;enum;1;11;machine_parameters;5071;Machine;1;2;0;;;7;105;%s;1;0;0
machine_watercartridgeautonomy_set;uint16;1;12;machine_parameters;5170;Machine;1;2;0;;;0;;%u;1;0;0
machine_reminder_time;uint16;1;13;machine_parameters;5064;Machine;1;2;6;;;1;;%u;1;0;107
